0.2125	457706	12560	2011-04-04
0.2807	488671	12560	2011-04-04
0.2179	425509	12560	2011-04-04
0.2432	276346	12560	2011-04-04
0.3780	453269	12560	2011-04-04
0.2973	489242	12560	2011-04-04
0.2308	120044	12560	2011-04-04
0.2785	400121	12560	2011-04-04
0.2840	430945	12560	2011-04-04
0.3333	115223	12560	2011-04-04
0.2375	448602	12560	2011-04-04
0.3385	429666	12560	2011-04-04
0.2462	429712	12560	2011-04-04
0.3294	408234	12560	2011-04-04
0.3462	406878	12560	2011-04-04
0.2857	446308	12560	2011-04-04
0.3636	455976	12560	2011-04-04
0.2121	117601	12560	2011-04-04
